,GSM4171496,GSM4171497,GSM4171499,GSM4171514,GSM4171517,GSM4171521,GSM4171522,GSM4171524,GSM4171527,GSM4171530,GSM4171531,GSM4171535,GSM4171536,GSM4171541,GSM4171543,GSM4171546,GSM4171560,GSM4171564,GSM4171572,GSM4171574,GSM4171578,GSM4171584
KIF16B,6.22814016058269,5.32396280206115,5.68603098303962,6.93253383181644,6.72695547490363,6.33993796610495,6.9527991256345,7.5696727803144,6.85726921968481,6.37015233806655,6.8126625556808,5.92658168306143,5.84243405401803,6.58162741855952,6.63399952424834,7.21531720658857,8.04667284950017,7.97470411016697,6.22552780147995,6.32929606856416,7.3408722526811,7.65644053500201
KIF17,4.56751380519397,4.60404478666655,4.46224833531867,4.55362858942013,4.48294744263181,4.7202576531121,4.50774489651589,4.70136487769109,4.58611128875549,4.35978519926296,4.76125863890758,4.64414653474647,4.68733295543912,4.51460159134807,4.52718289909969,4.96080398550204,4.4599123947901,4.83964142843667,4.72589062837809,4.60684033409759,4.79516417193584,4.48799150583548
KIF18A,7.17111966118326,8.20848940248376,5.80401635846733,6.63135903233491,6.14111233502235,5.62934902731457,6.85735893239085,4.33187298050636,3.59286714846105,5.1931849198805,6.60022339372138,7.44560677415904,5.89959587469517,6.83767290306282,5.31660758947328,3.68503838131542,4.38779859827983,3.5100416382512,7.06068788863038,5.96798718013066,3.5249030986233,4.32560341516606
KIF18B,8.75452689721912,9.25732346601341,7.03945214038569,8.02040903035269,6.34657693932762,8.15034427850018,7.65126707919073,5.83923523075607,4.02882220403374,7.53330400949464,7.18307367508018,7.15095291362489,7.96206650458315,7.65213091652834,6.5789090682914,4.41533293115755,6.45265502790284,4.00602501960998,8.30098987537725,7.99690991926047,5.5777502776778,3.9908186491845
KIF19,5.05756712925029,5.10463508815506,4.71159320804917,5.02393997503843,4.99875319446258,4.90007126737154,4.96277325295549,4.83415747430544,5.29191800189265,4.85926224285859,5.38626794253246,4.92052147525531,4.9501167965742,5.16324252817129,4.90805575358603,4.93727420343091,4.93448812321711,5.0281105155619,5.20600776291395,5.27971165474065,4.84785626232021,4.79939511232914
KIF1A,5.06658008139428,8.61219812643768,8.02062439916426,5.21346219984327,5.12661394278043,6.60375861491623,5.95376199575472,5.14247614882456,5.58194613907454,5.3540163409513,7.79205367775833,6.84818639281968,5.29393334436353,7.94862070529313,5.29263914092105,5.1906287714645,5.36283783067703,5.25634515338477,5.77192955303133,5.37905311477221,5.19117923795645,5.13431433731066
KIF1B,8.11245628165859,9.20375713819266,7.86301718457618,7.5127035186905,7.9701806151558,8.33851963658017,7.75321924477987,7.50736151841259,7.56077464414429,8.11502614210081,7.76623486706906,8.34645670578662,9.196140276515,8.35578596496878,7.54767190551622,7.8589738643241,8.01447727140097,7.32871710233489,7.30397634202486,7.92338086353736,7.84097389187513,7.93696634093553
KIF1C,6.27174445795864,7.97133795399011,7.98281883837906,6.86004577273958,6.11841631822714,7.43778282123803,7.66160340894291,7.10779210599874,6.03820315353191,7.63405593647558,7.01704692372467,7.56321760901861,7.6226497846162,7.47781681033064,6.74947108825534,6.80123349310459,6.58287743248882,7.016062564017,6.6128409758087,7.27552946596524,7.47101626009631,6.92672071401806
KIF1C-AS1,4.61672799358602,4.50893352258168,4.52023763380591,4.55143682622128,4.29165618464227,4.32149386343532,4.43129748391279,4.42843891190492,4.12989213956416,3.98948673855467,4.49276013453023,4.27995612867566,4.71901918484608,4.25227102629912,4.62250776510441,4.42474260265186,4.47599095715751,4.1619701746157,4.7229412203902,4.55326907118433,4.41912055186836,4.33634380911168
KIF20A,8.71648134451257,8.6902859342955,8.15302327103394,8.05365195766664,7.07257575705776,7.98729667944499,7.75347775209763,6.29562180184628,4.25028752291881,7.72758648467821,7.43372876821511,7.26867732480797,8.07179609797201,8.59061567942891,6.62320205099021,4.32915075176693,6.67746014019075,3.77794187557625,8.64865315418271,7.71323511709954,5.19378078663558,4.38831972887172
KIF20B,8.20587963290018,6.93955746120592,6.44193736319745,6.9886030797172,6.29747571724483,7.04541893341202,6.92612155874749,6.23202478994216,5.72381371264705,6.63280857500408,6.10300651285471,6.70203432099337,6.58684979663298,6.7441979838779,5.82073364506043,6.2662975146618,6.21393975044175,5.95715877388119,6.59640807473426,6.7593237513266,6.07139151893616,5.85043426490432
